tag,title,author,publisher,pub_date,price,rating,rating_people,url
小说,局外人,[法] 阿尔贝·加缪,上海译文出版社,2013-8,32元,9.1,83716,https://book.douban.com/subject/24257486/
小说,收留,[爱尔兰] 克莱尔·吉根,太白文艺出版社,2026-1,55,8.5,1026,https://book.douban.com/subject/37835911/
小说,深夜的恋人们,[日] 川上未映子,熊韵,中国友谊出版公司,2026-4,7.6,60,https://book.douban.com/subject/36987143/
小说,五号屠场,[美] 库尔特·冯内古特,河南文艺出版社,2022-7-1,59.90元,8.5,10819,https://book.douban.com/subject/35815592/
小说,战争与和平,[俄] 托尔斯泰,人民文学出版社,2015-4,88.00元,9.4,11765,https://book.douban.com/subject/25837845/
小说,大限将至,[英] 安东尼·霍洛维茨,新星出版社,2025-10,59.00元,7.9,1122,https://book.douban.com/subject/37447244/
小说,三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998-05,39.50元,9.3,183631,https://book.douban.com/subject/1019568/
小说,平凡的世界,路遥,北京十月文艺出版社,2012-3-1,CNY 79.80,9.0,87935,https://book.douban.com/subject/10517238/
小说,半生缘,张爱玲,北京十月文艺出版社,2019-3,55.00元,9.3,11564,https://book.douban.com/subject/30294355/
小说,小径分岔的花园,[阿根廷] 豪·路·博尔赫斯,上海译文出版社,2015-7,23.00,8.9,56499,https://book.douban.com/subject/25796120/
小说,莫失莫忘,[英] 石黑一雄,上海译文出版社,2018-6,49.00元,8.8,22144,https://book.douban.com/subject/30181685/
小说,邪恶的幸福,[丹麦] 托芙·迪特莱弗森,广西师范大学出版社,2025-2,48.00元,8.3,1628,https://book.douban.com/subject/36872317/
小说,环界1,[日] 铃木光司,南海出版公司,2017-1-1,39,8.5,7654,https://book.douban.com/subject/26861459/
小说,怪屋谜案 2,[日] 雨穴,台海出版社,2025-3,59.00,7.5,7448,https://book.douban.com/subject/37228445/
小说,撒旦探戈,克拉斯诺霍尔卡伊·拉斯洛,译林出版社,2017-7,48.00元,8.6,5595,https://book.douban.com/subject/26394865/
小说,一九八四,[英国] 乔治·奥威尔,上海译文出版社,2009-7,29.00元,9.5,51186,https://book.douban.com/subject/3815131/
小说,纯真博物馆,[土耳其] 奥尔罕·帕慕克,上海人民出版社,2010-1,36.00元,8.0,14322,https://book.douban.com/subject/4154988/
小说,天幕红尘,豆豆,作家出版社,2013-6,36.00元,8.3,13628,https://book.douban.com/subject/24748615/
小说,仙症,郑执,北京日报出版社,2020-10-1,58.00元,8.1,20371,https://book.douban.com/subject/35216559/
小说,象首迷宮,白井智之,台灣角川,2025-9-11,NT$420,7.7,4564,https://book.douban.com/subject/37422829/
小说,罐头厂街,[美] 约翰·斯坦贝克,文汇出版社,2026-2,39.00元,8.8,387,https://book.douban.com/subject/37889502/
小说,777,[日] 伊坂幸太郎,新星出版社,2025-8,55.00元,8.1,3284,https://book.douban.com/subject/37271274/
小说,客乡,[德]燕妮·埃彭贝克,北京日报出版社,2023-1,RMB 59.00,8.3,2731,https://book.douban.com/subject/35473516/
小说,密室偏爱时代的谋杀事件,[日] 鸭崎暖炉,丁宇宁,江苏凤凰文艺出版社,2026-1-1,7.4,1007,https://book.douban.com/subject/37841158/
小说,你当像鸟飞往你的山,塔拉·韦斯特弗,南海出版公司,2019-10,59.00元,8.7,226185,https://book.douban.com/subject/33440205/
小说,来电疑云,[美] 詹姆斯·亚飞,浙江文艺出版社,2026-4,56.00元,7.2,193,https://book.douban.com/subject/38236701/
小说,海葵,贝客邦,重庆出版社,2021-3,49.00元,8.4,9055,https://book.douban.com/subject/35272690/
小说,长安十二时辰 上,马伯庸,湖南文艺出版社,2017-1,39.80元,8.3,61859,https://book.douban.com/subject/26899537/
小说,暗河,[法]苏菲·玛索,花城出版社,2026-3,58,7.5,169,https://book.douban.com/subject/38357441/
小说,使女的故事,[加拿大] 玛格丽特·阿特伍德,上海译文出版社,2020-7,59,8.9,12166,https://book.douban.com/subject/35114057/
小说,红手指,[日] 东野圭吾,南海出版公司,2015-1,39.50,8.0,44931,https://book.douban.com/subject/26651926/
小说,苦炼,[法] 玛格丽特·尤瑟纳尔,上海三联书店,2021-10,68.00元,9.0,2582,https://book.douban.com/subject/35481713/
小说,凤凰籽,东来,浙江文艺出版社,2025-6,68,8.0,1358,https://book.douban.com/subject/37349398/
小说,克拉拉与太阳,[英] 石黑一雄,上海译文出版社,2021-3,68.00,8.2,57960,https://book.douban.com/subject/35315153/
